title_id,tile_id,cloud_cover,spatial_cover,date,http_links,s3_links
HLS.S30.T18SVJ.2022070T155051.v2.0,T18SVJ,1,99,2022-03-11,"{'B11': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SVJ.2022070T155051.v2.0/HLS.S30.T18SVJ.2022070T155051.v2.0.B11.tif', 'B03': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SVJ.2022070T155051.v2.0/HLS.S30.T18SVJ.2022070T155051.v2.0.B03.tif', 'Fmask': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SVJ.2022070T155051.v2.0/HLS.S30.T18SVJ.2022070T155051.v2.0.Fmask.tif', 'B02': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SVJ.2022070T155051.v2.0/HLS.S30.T18SVJ.2022070T155051.v2.0.B02.tif', 'B04': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SVJ.2022070T155051.v2.0/HLS.S30.T18SVJ.2022070T155051.v2.0.B04.tif', 'B8A': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SVJ.2022070T155051.v2.0/HLS.S30.T18SVJ.2022070T155051.v2.0.B8A.tif', 'B12': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SVJ.2022070T155051.v2.0/HLS.S30.T18SVJ.2022070T155051.v2.0.B12.tif'}","{'B11': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SVJ.2022070T155051.v2.0/HLS.S30.T18SVJ.2022070T155051.v2.0.B11.tif', 'B03': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SVJ.2022070T155051.v2.0/HLS.S30.T18SVJ.2022070T155051.v2.0.B03.tif', 'Fmask': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SVJ.2022070T155051.v2.0/HLS.S30.T18SVJ.2022070T155051.v2.0.Fmask.tif', 'B02': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SVJ.2022070T155051.v2.0/HLS.S30.T18SVJ.2022070T155051.v2.0.B02.tif', 'B04': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SVJ.2022070T155051.v2.0/HLS.S30.T18SVJ.2022070T155051.v2.0.B04.tif', 'B8A': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SVJ.2022070T155051.v2.0/HLS.S30.T18SVJ.2022070T155051.v2.0.B8A.tif', 'B12': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SVJ.2022070T155051.v2.0/HLS.S30.T18SVJ.2022070T155051.v2.0.B12.tif'}"
HLS.S30.T18SVJ.2022170T154821.v2.0,T18SVJ,1,99,2022-06-19,"{'B11': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SVJ.2022170T154821.v2.0/HLS.S30.T18SVJ.2022170T154821.v2.0.B11.tif', 'B8A': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SVJ.2022170T154821.v2.0/HLS.S30.T18SVJ.2022170T154821.v2.0.B8A.tif', 'B03': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SVJ.2022170T154821.v2.0/HLS.S30.T18SVJ.2022170T154821.v2.0.B03.tif', 'Fmask': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SVJ.2022170T154821.v2.0/HLS.S30.T18SVJ.2022170T154821.v2.0.Fmask.tif', 'B02': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SVJ.2022170T154821.v2.0/HLS.S30.T18SVJ.2022170T154821.v2.0.B02.tif', 'B12': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SVJ.2022170T154821.v2.0/HLS.S30.T18SVJ.2022170T154821.v2.0.B12.tif', 'B04': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SVJ.2022170T154821.v2.0/HLS.S30.T18SVJ.2022170T154821.v2.0.B04.tif'}","{'B11': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SVJ.2022170T154821.v2.0/HLS.S30.T18SVJ.2022170T154821.v2.0.B11.tif', 'B8A': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SVJ.2022170T154821.v2.0/HLS.S30.T18SVJ.2022170T154821.v2.0.B8A.tif', 'B03': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SVJ.2022170T154821.v2.0/HLS.S30.T18SVJ.2022170T154821.v2.0.B03.tif', 'Fmask': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SVJ.2022170T154821.v2.0/HLS.S30.T18SVJ.2022170T154821.v2.0.Fmask.tif', 'B02': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SVJ.2022170T154821.v2.0/HLS.S30.T18SVJ.2022170T154821.v2.0.B02.tif', 'B12': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SVJ.2022170T154821.v2.0/HLS.S30.T18SVJ.2022170T154821.v2.0.B12.tif', 'B04': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SVJ.2022170T154821.v2.0/HLS.S30.T18SVJ.2022170T154821.v2.0.B04.tif'}"
HLS.S30.T18SVJ.2022270T155031.v2.0,T18SVJ,0,99,2022-09-27,"{'B04': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SVJ.2022270T155031.v2.0/HLS.S30.T18SVJ.2022270T155031.v2.0.B04.tif', 'B02': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SVJ.2022270T155031.v2.0/HLS.S30.T18SVJ.2022270T155031.v2.0.B02.tif', 'B03': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SVJ.2022270T155031.v2.0/HLS.S30.T18SVJ.2022270T155031.v2.0.B03.tif', 'Fmask': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SVJ.2022270T155031.v2.0/HLS.S30.T18SVJ.2022270T155031.v2.0.Fmask.tif', 'B8A': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SVJ.2022270T155031.v2.0/HLS.S30.T18SVJ.2022270T155031.v2.0.B8A.tif', 'B12': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SVJ.2022270T155031.v2.0/HLS.S30.T18SVJ.2022270T155031.v2.0.B12.tif', 'B11': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SVJ.2022270T155031.v2.0/HLS.S30.T18SVJ.2022270T155031.v2.0.B11.tif'}","{'B04': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SVJ.2022270T155031.v2.0/HLS.S30.T18SVJ.2022270T155031.v2.0.B04.tif', 'B02': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SVJ.2022270T155031.v2.0/HLS.S30.T18SVJ.2022270T155031.v2.0.B02.tif', 'B03': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SVJ.2022270T155031.v2.0/HLS.S30.T18SVJ.2022270T155031.v2.0.B03.tif', 'Fmask': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SVJ.2022270T155031.v2.0/HLS.S30.T18SVJ.2022270T155031.v2.0.Fmask.tif', 'B8A': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SVJ.2022270T155031.v2.0/HLS.S30.T18SVJ.2022270T155031.v2.0.B8A.tif', 'B12': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SVJ.2022270T155031.v2.0/HLS.S30.T18SVJ.2022270T155031.v2.0.B12.tif', 'B11': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SVJ.2022270T155031.v2.0/HLS.S30.T18SVJ.2022270T155031.v2.0.B11.tif'}"
HLS.S30.T18SUH.2022070T155051.v2.0,T18SUH,0,99,2022-03-11,"{'B03': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SUH.2022070T155051.v2.0/HLS.S30.T18SUH.2022070T155051.v2.0.B03.tif', 'B02': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SUH.2022070T155051.v2.0/HLS.S30.T18SUH.2022070T155051.v2.0.B02.tif', 'B12': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SUH.2022070T155051.v2.0/HLS.S30.T18SUH.2022070T155051.v2.0.B12.tif', 'Fmask': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SUH.2022070T155051.v2.0/HLS.S30.T18SUH.2022070T155051.v2.0.Fmask.tif', 'B8A': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SUH.2022070T155051.v2.0/HLS.S30.T18SUH.2022070T155051.v2.0.B8A.tif', 'B04': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SUH.2022070T155051.v2.0/HLS.S30.T18SUH.2022070T155051.v2.0.B04.tif', 'B11': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SUH.2022070T155051.v2.0/HLS.S30.T18SUH.2022070T155051.v2.0.B11.tif'}","{'B03': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SUH.2022070T155051.v2.0/HLS.S30.T18SUH.2022070T155051.v2.0.B03.tif', 'B02': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SUH.2022070T155051.v2.0/HLS.S30.T18SUH.2022070T155051.v2.0.B02.tif', 'B12': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SUH.2022070T155051.v2.0/HLS.S30.T18SUH.2022070T155051.v2.0.B12.tif', 'Fmask': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SUH.2022070T155051.v2.0/HLS.S30.T18SUH.2022070T155051.v2.0.Fmask.tif', 'B8A': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SUH.2022070T155051.v2.0/HLS.S30.T18SUH.2022070T155051.v2.0.B8A.tif', 'B04': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SUH.2022070T155051.v2.0/HLS.S30.T18SUH.2022070T155051.v2.0.B04.tif', 'B11': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SUH.2022070T155051.v2.0/HLS.S30.T18SUH.2022070T155051.v2.0.B11.tif'}"
HLS.S30.T18SUH.2022180T154821.v2.0,T18SUH,0,99,2022-06-29,"{'B02': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SUH.2022180T154821.v2.0/HLS.S30.T18SUH.2022180T154821.v2.0.B02.tif', 'B11': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SUH.2022180T154821.v2.0/HLS.S30.T18SUH.2022180T154821.v2.0.B11.tif', 'B12': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SUH.2022180T154821.v2.0/HLS.S30.T18SUH.2022180T154821.v2.0.B12.tif', 'B8A': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SUH.2022180T154821.v2.0/HLS.S30.T18SUH.2022180T154821.v2.0.B8A.tif', 'Fmask': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SUH.2022180T154821.v2.0/HLS.S30.T18SUH.2022180T154821.v2.0.Fmask.tif', 'B03': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SUH.2022180T154821.v2.0/HLS.S30.T18SUH.2022180T154821.v2.0.B03.tif', 'B04': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SUH.2022180T154821.v2.0/HLS.S30.T18SUH.2022180T154821.v2.0.B04.tif'}","{'B02': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SUH.2022180T154821.v2.0/HLS.S30.T18SUH.2022180T154821.v2.0.B02.tif', 'B11': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SUH.2022180T154821.v2.0/HLS.S30.T18SUH.2022180T154821.v2.0.B11.tif', 'B12': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SUH.2022180T154821.v2.0/HLS.S30.T18SUH.2022180T154821.v2.0.B12.tif', 'B8A': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SUH.2022180T154821.v2.0/HLS.S30.T18SUH.2022180T154821.v2.0.B8A.tif', 'Fmask': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SUH.2022180T154821.v2.0/HLS.S30.T18SUH.2022180T154821.v2.0.Fmask.tif', 'B03': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SUH.2022180T154821.v2.0/HLS.S30.T18SUH.2022180T154821.v2.0.B03.tif', 'B04': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SUH.2022180T154821.v2.0/HLS.S30.T18SUH.2022180T154821.v2.0.B04.tif'}"
HLS.S30.T18SUH.2022260T154921.v2.0,T18SUH,1,99,2022-09-17,"{'Fmask': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SUH.2022260T154921.v2.0/HLS.S30.T18SUH.2022260T154921.v2.0.Fmask.tif', 'B11': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SUH.2022260T154921.v2.0/HLS.S30.T18SUH.2022260T154921.v2.0.B11.tif', 'B8A': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SUH.2022260T154921.v2.0/HLS.S30.T18SUH.2022260T154921.v2.0.B8A.tif', 'B02': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SUH.2022260T154921.v2.0/HLS.S30.T18SUH.2022260T154921.v2.0.B02.tif', 'B12': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SUH.2022260T154921.v2.0/HLS.S30.T18SUH.2022260T154921.v2.0.B12.tif', 'B04': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SUH.2022260T154921.v2.0/HLS.S30.T18SUH.2022260T154921.v2.0.B04.tif', 'B03': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SUH.2022260T154921.v2.0/HLS.S30.T18SUH.2022260T154921.v2.0.B03.tif'}","{'Fmask': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SUH.2022260T154921.v2.0/HLS.S30.T18SUH.2022260T154921.v2.0.Fmask.tif', 'B11': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SUH.2022260T154921.v2.0/HLS.S30.T18SUH.2022260T154921.v2.0.B11.tif', 'B8A': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SUH.2022260T154921.v2.0/HLS.S30.T18SUH.2022260T154921.v2.0.B8A.tif', 'B02': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SUH.2022260T154921.v2.0/HLS.S30.T18SUH.2022260T154921.v2.0.B02.tif', 'B12': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SUH.2022260T154921.v2.0/HLS.S30.T18SUH.2022260T154921.v2.0.B12.tif', 'B04': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SUH.2022260T154921.v2.0/HLS.S30.T18SUH.2022260T154921.v2.0.B04.tif', 'B03': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SUH.2022260T154921.v2.0/HLS.S30.T18SUH.2022260T154921.v2.0.B03.tif'}"
HLS.S30.T18SVH.2022065T155029.v2.0,T18SVH,3,99,2022-03-06,"{'B8A': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SVH.2022065T155029.v2.0/HLS.S30.T18SVH.2022065T155029.v2.0.B8A.tif', 'B04': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SVH.2022065T155029.v2.0/HLS.S30.T18SVH.2022065T155029.v2.0.B04.tif', 'B02': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SVH.2022065T155029.v2.0/HLS.S30.T18SVH.2022065T155029.v2.0.B02.tif', 'B12': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SVH.2022065T155029.v2.0/HLS.S30.T18SVH.2022065T155029.v2.0.B12.tif', 'B11': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SVH.2022065T155029.v2.0/HLS.S30.T18SVH.2022065T155029.v2.0.B11.tif', 'B03': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SVH.2022065T155029.v2.0/HLS.S30.T18SVH.2022065T155029.v2.0.B03.tif', 'Fmask': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SVH.2022065T155029.v2.0/HLS.S30.T18SVH.2022065T155029.v2.0.Fmask.tif'}","{'B8A': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SVH.2022065T155029.v2.0/HLS.S30.T18SVH.2022065T155029.v2.0.B8A.tif', 'B04': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SVH.2022065T155029.v2.0/HLS.S30.T18SVH.2022065T155029.v2.0.B04.tif', 'B02': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SVH.2022065T155029.v2.0/HLS.S30.T18SVH.2022065T155029.v2.0.B02.tif', 'B12': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SVH.2022065T155029.v2.0/HLS.S30.T18SVH.2022065T155029.v2.0.B12.tif', 'B11': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SVH.2022065T155029.v2.0/HLS.S30.T18SVH.2022065T155029.v2.0.B11.tif', 'B03': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SVH.2022065T155029.v2.0/HLS.S30.T18SVH.2022065T155029.v2.0.B03.tif', 'Fmask': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SVH.2022065T155029.v2.0/HLS.S30.T18SVH.2022065T155029.v2.0.Fmask.tif'}"
HLS.S30.T18SVH.2022170T154821.v2.0,T18SVH,3,99,2022-06-19,"{'B12': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SVH.2022170T154821.v2.0/HLS.S30.T18SVH.2022170T154821.v2.0.B12.tif', 'B02': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SVH.2022170T154821.v2.0/HLS.S30.T18SVH.2022170T154821.v2.0.B02.tif', 'B8A': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SVH.2022170T154821.v2.0/HLS.S30.T18SVH.2022170T154821.v2.0.B8A.tif', 'B04': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SVH.2022170T154821.v2.0/HLS.S30.T18SVH.2022170T154821.v2.0.B04.tif', 'B03': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SVH.2022170T154821.v2.0/HLS.S30.T18SVH.2022170T154821.v2.0.B03.tif', 'Fmask': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SVH.2022170T154821.v2.0/HLS.S30.T18SVH.2022170T154821.v2.0.Fmask.tif', 'B11': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SVH.2022170T154821.v2.0/HLS.S30.T18SVH.2022170T154821.v2.0.B11.tif'}","{'B12': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SVH.2022170T154821.v2.0/HLS.S30.T18SVH.2022170T154821.v2.0.B12.tif', 'B02': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SVH.2022170T154821.v2.0/HLS.S30.T18SVH.2022170T154821.v2.0.B02.tif', 'B8A': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SVH.2022170T154821.v2.0/HLS.S30.T18SVH.2022170T154821.v2.0.B8A.tif', 'B04': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SVH.2022170T154821.v2.0/HLS.S30.T18SVH.2022170T154821.v2.0.B04.tif', 'B03': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SVH.2022170T154821.v2.0/HLS.S30.T18SVH.2022170T154821.v2.0.B03.tif', 'Fmask': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SVH.2022170T154821.v2.0/HLS.S30.T18SVH.2022170T154821.v2.0.Fmask.tif', 'B11': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SVH.2022170T154821.v2.0/HLS.S30.T18SVH.2022170T154821.v2.0.B11.tif'}"
HLS.S30.T18SVH.2022270T155031.v2.0,T18SVH,1,99,2022-09-27,"{'Fmask': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SVH.2022270T155031.v2.0/HLS.S30.T18SVH.2022270T155031.v2.0.Fmask.tif', 'B02': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SVH.2022270T155031.v2.0/HLS.S30.T18SVH.2022270T155031.v2.0.B02.tif', 'B11': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SVH.2022270T155031.v2.0/HLS.S30.T18SVH.2022270T155031.v2.0.B11.tif', 'B03': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SVH.2022270T155031.v2.0/HLS.S30.T18SVH.2022270T155031.v2.0.B03.tif', 'B12': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SVH.2022270T155031.v2.0/HLS.S30.T18SVH.2022270T155031.v2.0.B12.tif', 'B04': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SVH.2022270T155031.v2.0/HLS.S30.T18SVH.2022270T155031.v2.0.B04.tif', 'B8A': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18SVH.2022270T155031.v2.0/HLS.S30.T18SVH.2022270T155031.v2.0.B8A.tif'}","{'Fmask': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SVH.2022270T155031.v2.0/HLS.S30.T18SVH.2022270T155031.v2.0.Fmask.tif', 'B02': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SVH.2022270T155031.v2.0/HLS.S30.T18SVH.2022270T155031.v2.0.B02.tif', 'B11': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SVH.2022270T155031.v2.0/HLS.S30.T18SVH.2022270T155031.v2.0.B11.tif', 'B03': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SVH.2022270T155031.v2.0/HLS.S30.T18SVH.2022270T155031.v2.0.B03.tif', 'B12': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SVH.2022270T155031.v2.0/HLS.S30.T18SVH.2022270T155031.v2.0.B12.tif', 'B04': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SVH.2022270T155031.v2.0/HLS.S30.T18SVH.2022270T155031.v2.0.B04.tif', 'B8A': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18SVH.2022270T155031.v2.0/HLS.S30.T18SVH.2022270T155031.v2.0.B8A.tif'}"
HLS.S30.T18TUK.2022075T154909.v2.0,T18TUK,1,99,2022-03-16,"{'B11': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18TUK.2022075T154909.v2.0/HLS.S30.T18TUK.2022075T154909.v2.0.B11.tif', 'B02': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18TUK.2022075T154909.v2.0/HLS.S30.T18TUK.2022075T154909.v2.0.B02.tif', 'Fmask': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18TUK.2022075T154909.v2.0/HLS.S30.T18TUK.2022075T154909.v2.0.Fmask.tif', 'B8A': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18TUK.2022075T154909.v2.0/HLS.S30.T18TUK.2022075T154909.v2.0.B8A.tif', 'B12': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18TUK.2022075T154909.v2.0/HLS.S30.T18TUK.2022075T154909.v2.0.B12.tif', 'B04': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18TUK.2022075T154909.v2.0/HLS.S30.T18TUK.2022075T154909.v2.0.B04.tif', 'B03': 'https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T18TUK.2022075T154909.v2.0/HLS.S30.T18TUK.2022075T154909.v2.0.B03.tif'}","{'B11': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18TUK.2022075T154909.v2.0/HLS.S30.T18TUK.2022075T154909.v2.0.B11.tif', 'B02': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18TUK.2022075T154909.v2.0/HLS.S30.T18TUK.2022075T154909.v2.0.B02.tif', 'Fmask': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18TUK.2022075T154909.v2.0/HLS.S30.T18TUK.2022075T154909.v2.0.Fmask.tif', 'B8A': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18TUK.2022075T154909.v2.0/HLS.S30.T18TUK.2022075T154909.v2.0.B8A.tif', 'B12': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18TUK.2022075T154909.v2.0/HLS.S30.T18TUK.2022075T154909.v2.0.B12.tif', 'B04': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18TUK.2022075T154909.v2.0/HLS.S30.T18TUK.2022075T154909.v2.0.B04.tif', 'B03': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T18TUK.2022075T154909.v2.0/HLS.S30.T18TUK.2022075T154909.v2.0.B03.tif'}"
